Ranking,Neighborhood,Borough,Median Sales Price (USD),Transactions
1,Noho,Manhattan,3250000,57
2,Hudson Yards,Manhattan,3201875,56
3,Tribeca,Manhattan,3150000,320
4,Central Park South,Manhattan,3050218.5,68
5,Nolita,Manhattan,3002146,41
6,Theatre District,Manhattan,2970000,143
7,Bowery,Manhattan,2350000,39
8,Soho,Manhattan,2330000,172
9,Civic Center,Manhattan,2270000,81
10,Hudson Square/West Soho,Manhattan,2050000,91
11,Lincoln Square,Manhattan,1975000,729
12,Nomad,Manhattan,1900000,63
13,Lenox Hill,Manhattan,1875000,429
14,Carnegie Hill,Manhattan,1850000,201
15,Flatiron,Manhattan,1650000,119
16,Cobble Hill,Brooklyn,1640000,82
17,Carroll Gardens,Brooklyn,1615000,113
18,Upper West Side,Manhattan,1575000,1699
19,Boerum Hill,Brooklyn,1542260,91
20,Fort Greene,Brooklyn,1437500,94
21,Chelsea,Manhattan,1412500,354
22,West Village,Manhattan,1410000,350
23,South Slope,Brooklyn,1400000,169
24,Dumbo,Brooklyn,1395000,80
25,West Chelsea,Manhattan,1350000,117
26,Park Slope,Brooklyn,1290000,547
27,Red hook,Brooklyn,1287449,53
28,Columbia Waterfront District,Brooklyn,1225000,35
29,Manhattan Beach,Brooklyn,1211000,45
30,Prospect Heights,Brooklyn,1204000,212
31,Midtown South,Manhattan,1200000,43
32,Greenpoint,Brooklyn,1199000,181
33,Upper East Side,Manhattan,1195000,1755
33,Brooklyn Heights,Brooklyn,1195000,213
35,Roosevelt Island,Manhattan,1167500,20
36,Todt Hill,Staten Island,1150000,33
36,Ditmars Steinway,Queens,1150000,48
38,Financial District,Manhattan,1149000,225
39,Williamsburg,Brooklyn,1135000,577
40,Greenwich Village,Manhattan,1110000,351
41,Lower East Side,Manhattan,1080000,209
42,Malba,Queens,1070000,14
43,Hunters Point,Queens,1025000,189
44,Ridgewood,Queens,999999,131
45,East Williamsburg,Brooklyn,999500,86
46,East Village,Manhattan,999000,167
46,Borough Park,Brooklyn,999000,246
48,Union Square,Manhattan,995000,70
49,Gowanus,Brooklyn,992793,107
50,Neponsit,Queens,990000,14
50,Bensonhurst,Brooklyn,990000,203
50,Mapleton,Brooklyn,990000,83
